iteration	timestamp	dimension	coverage_score	quality_score	total_score	status	hypothesis	cumulative_cost_usd	cumulative_input_tokens	cumulative_output_tokens
001	2026-04-08T16:29:02	AWS service coverage (S3, SQS, SNS, Lambda, DynamoDB, API Gateway, IAM, CloudFormation)	76.2	80.0	78.5	keep	Service coverage is the foundational gate — if an alternative doesn't support the services a team needs, all other dimen	0.163	35940	654
002	2026-04-08T16:35:38	Community activity, maintenance status, and bus factor	67.5	65.0	66.0	keep	The peer review identified low adoption evidence for MiniStack and Floci as the highest-priority gap — without independe	0.342	85945	1160
003	2026-04-08T16:41:13	Docker image size, startup time, and resource usage	67.5	67.5	67.5	keep	Resource usage is foundational to CI/CD integration — it determines whether a tool is practical in ephemeral containers 	0.516	137450	1719
004	2026-04-08T16:46:44	API compatibility and fidelity vs real AWS	58.8	67.5	64.0	keep	Service coverage counts tell you what operations exist; API fidelity tells you whether they actually work correctly — wi	0.699	184367	2240
005	2026-04-08T16:54:21	CI/CD integration (GitHub Actions, GitLab CI, Jenkins)	82.5	67.5	73.5	keep	CI/CD integration is the most foundational remaining dimension because it directly determines practical adoptability — a	0.884	266959	7648
006	2026-04-08T17:00:45	Migration effort from LocalStack (config, SDK compatibility, breaking changes)	76.2	67.5	71.0	keep	Migration friction is the single most decision-relevant unknown for teams already invested in LocalStack — service cover	1.075	314021	8208
007	2026-04-08T17:05:51	Licensing and pricing (LocalStack free vs Pro vs alternatives)	67.5	75.0	72.0	keep	License and pricing determines whether migration is optional or mandatory — teams on LocalStack free may face no immedia	1.259	361802	8771
008	2026-04-08T17:13:23	Terraform / CDK / SAM / CloudFormation support	58.8	67.5	64.0	keep	IaC compatibility is the dimension most likely to eliminate candidates outright — a tool that passes SDK tests but break	1.448	408700	9518
009	2026-04-08T17:21:27	MinIO as S3-compatible replacement and Testcontainers integration patterns across all candidates	73.8	77.5	76.0	keep	MinIO was identified as a critical omission in the S3-only comparison, and Testcontainers was flagged as a missing basel	1.621	494740	14792
010	2026-04-08T17:27:12	SigV4 signing and SDK compatibility under real AWS SDKs	67.5	72.5	70.5	keep	SigV4 compatibility is the most common source of emulator-passes/AWS-fails bugs and was explicitly deferred in prior res	1.802	542180	15456
